0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
PRESIDENCIA,"CASTRO ROSSELL, MARCO ALEJANDRO",13/08/2021,15/08/2021,LIMA-AREQUIPA-LIMA,1189.12,678.5,1867.62,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"COX BEUZEVILLE, CESAR AUGUSTO PEDRO",14/08/2021,15/08/2021,LIMA-AREQUIPA-LIMA,1295.56,632,1927.56,RECURSOS ORDINARIOS,MESA DIRECTIVA
PRESIDENCIA,GRANDEZ CLAVO MARCOS,13/08/2021,15/08/2021,LIMA-AREQUIPA-LIMA,1266.53,878.8,2145.33,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE EDUCACION, JUVENTUD Y DEPORTE","GUTIERREZ VARGAS, CARMEN ROSA",30/08/2021,01/09/2021,LIMA-AREQUIPA-LIMA,903.64,960,1863.64,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE EDUCACION, JUVENTUD Y DEPORTE","MAMANI JOVE, CARLOS ENRIQUE",30/08/2021,01/09/2021,LIMA-AREQUIPA-LIMA,903.64,960,1863.64,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"MIÑANO CANALES, HECTOR DANIEL",14/08/2021,15/08/2021,LIMA-AREQUIPA-LIMA,1295.56,639.5,1935.06,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"MONTALVO RONDON, MADELEINE MARGARET",14/08/2021,15/08/2021,LIMA-AREQUIPA-LIMA,1295.56,636,1931.56,RECURSOS ORDINARIOS,MESA DIRECTIVA
PRESIDENCIA,"MORI MONTOYA, José Reyles",13/08/2021,15/08/2021,LIMA-AREQUIPA-LIMA,1266.53,879.8,2146.33,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE EDUCACION, JUVENTUD Y DEPORTE","NECIOSUP SANTA CRUZ, VICTOR HUGO",30/08/2021,01/09/2021,LIMA-AREQUIPA-LIMA,903.64,960,1863.64,RECURSOS ORDINARIOS,MESA DIRECTIVA
"FLORES ANCACHI, JORGE","FLORES ANCACHI, JORGE",13/08/2021,16/08/2021,LIMA-JULIACA-LIMA,909.3,0,909.3,RECURSOS ORDINARIOS,MESA DIRECTIVA
"RAMIREZ GARCIA, TANIA","RAMIREZ GARCIA, TANIA",22/08/2021,22/08/2021,JAEN-LIMA,708.56,0,708.56,RECURSOS ORDINARIOS,MESA DIRECTIVA
"TACURI VALDIVIA, GERMAN","TACURI VALDIVIA, GERMAN",23/08/2021,23/08/2021,AYACUCHO-LIMA,690.37,0,690.37,RECURSOS ORDINARIOS,MESA DIRECTIVA
"TACURI VALDIVIA, GERMAN","TACURI VALDIVIA, GERMAN",27/08/2021,28/08/2021,LIMA-TACNA-LIMA,1529.98,0,1529.98,RECURSOS ORDINARIOS,MESA DIRECTIVA
"TORRES SALINAS, ROSIO","TORRES SALINAS, ROSIO",28/08/2021,28/08/2021,LIMA-TARAPOTO,845.82,0,845.82,RECURSOS ORDINARIOS,MESA DIRECTIVA
AGUERO GUTIERREZ/MARIA ANTONIA,AGUERO GUTIERREZ/MARIA ANTONIA,28/08/2021,31/08/2021,LIM/AQP/LIM,1030.9,0,1030.9,RECURSOS ORDINARIOS,MESA DIRECTIVA
AGUINAGA RECUENCO/ALEJANDRO A,AGUINAGA RECUENCO/ALEJANDRO A,13/08/2021,15/08/2021,LIM/CIX/LIM,1026.08,0,1026.08,RECURSOS ORDINARIOS,MESA DIRECTIVA
ALEGRIA GARCIA/LUIS ARTURO,ALEGRIA GARCIA/LUIS ARTURO,03/08/2021,04/08/2021,LIM/TPP/LIM,1030.98,0,1030.98,RECURSOS ORDINARIOS,MESA DIRECTIVA
ALEGRIA GARCIA/LUIS ARTURO,ALEGRIA GARCIA/LUIS ARTURO,19/08/2021,22/08/2021,LIM/TPP/LIM,1030.98,0,1030.98,RECURSOS ORDINARIOS,MESA DIRECTIVA
ALVA PRIETO/MARIA DEL CARMEN,ALVA PRIETO/MARIA DEL CARMEN,14/08/2021,15/08/2021,LIM/AQP/LIM,1030.9,0,1030.9,RECURSOS ORDINARIOS,MESA DIRECTIVA
