0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
Despacho Congresal,CUETO ASERVI JOSÉ,06/07/2022,08/07/2022,Lima Rumania Lima,10019.63,4695.12,14714.75,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,WILLIAMS ZAPATA JOSÉ,06/07/2022,08/07/2022,Lima Rumania Lima,10019.63,5228.8,15248.43,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,AZURIN LOAYZA ALFREDO,06/07/2022,08/07/2022,Lima Rumania Lima,10750.13,5106.66,15856.79,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,ALVA PRIETO MARIA DEL CARMEN,18/07/2022,20/07/2022,Lima Panamá Lima,1699.01,1464.18,3163.19,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,CHIRINOS VENEGAS PATRICIA,18/07/2022,20/07/2022,Lima Panamá Lima,1782.53,1420.43,3202.96,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,ARCE ALVARADO JAVIER FERNANDO,24/07/2022,27/07/2022,Lima Colombia Lima,3560.6,3067.25,6627.85,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,PACHECO VILLAR GUSTAVO,24/07/2022,27/07/2022,Lima Colombia Lima,3349.34,3584.26,6933.6,RECURSOS ORDINARIOS,Mesa Directiva
Personal PA Arce,BRAVO TORO JORGE,24/07/2022,27/07/2022,Lima Colombia Lima,3560.6,2967.68,6528.28,RECURSOS ORDINARIOS,Mesa Directiva
Personal PA Arce,PAREDES TUME JHOAN,24/07/2022,27/07/2022,Lima Colombia Lima,4928.82,2789.84,7718.66,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,CAMONES SORIANO LALDY,18/07/2022,20/07/2022,Lima Panamá Lima,3314.55,0,3314.55,RECURSOS ORDINARIOS,Mesa Directiva
Personal PA Pacheco,COARICONA MENDOZA DANCY YUDITH,24/07/2022,27/07/2022,Lima Colombia Lima,3666.23,3517.28,7183.51,RECURSOS ORDINARIOS,Mesa Directiva
Personal PA RAMIREZ LARIZBEASCOA JUAN,BARRETO SANCHEZ MONICA,24/07/2022,27/07/2022,Lima Colombia Lima,3307.05,0,3307.05,RECURSOS ORDINARIOS,Mesa Directiva
Personal PA RAMIREZ LARIZBEASCOA JUAN,OYARCE CALDERON JOEL,24/07/2022,27/07/2022,Lima Colombia Lima,3307.05,0,3307.05,RECURSOS ORDINARIOS,Mesa Directiva
Asesor Vicepresidencia PA RAMIREZ LARIZBEASCOA JUAN,ALFARO MORI PAOLA,24/07/2022,27/07/2022,Lima Colombia Lima,3307.05,0,3307.05,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,RAMIREZ LARIZBEASCOA JUAN CARLOS,24/07/2022,27/07/2022,Lima Colombia Lima,3307.05,0,3307.05,RECURSOS ORDINARIOS,Mesa Directiva
,,,,,,,,,
