0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
Despacho Congresal,MALAGA TRILLO GEORGE EDWARD,16/01/2023,21/01/2023,Lima Chile Lima,3335.39,5982.57,9317.96,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,GONZA CASTILLO AMÉRICO,24/01/2023,26/01/2023,Lima Ginebra Lima,5118.41,3033.03,8151.44,RECURSOS ORDINARIOS,Mesa Directiva
Despacho Congresal,LIZARZABURU LIZARZABURU JUAN CARLOS,17/01/2023,22/01/2023,Lima EEUU Lima,7707.05,10296,18003.05,RECURSOS ORDINARIOS,Mesa Directiva
Asesor Cong. Lizarzaburu,NAVARRO ARMESTAR MARICIEL MILAGROS,17/01/2023,22/01/2023,Lima EEUU Lima,7707.05,10296,18003.05,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,ARCE ALVARADO JAVIER FERNANDO,23/01/2023,27/01/2023,Lima Bolivia Lima,2414.89,3324.91,5739.8,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,PACHECO VILLAR GUSTAVO,23/01/2023,28/01/2023,Lima Bolivia Lima,2744.33,5622.15,8366.48,RECURSOS ORDINARIOS,Mesa Directiva
Parlamento Andino,LAZO VILLÓN LESLYE CAROL,25/01/2023,27/01/2023,Lima Bolivia Lima,3830.96,1900.72,5731.68,RECURSOS ORDINARIOS,Mesa Directiva
Personal del PA Javier Arce Sesión Extraordinario Enero,CORONEL VASQUEZ NORMAN NELSON,23/01/2023,27/01/2023,Lima Bolivia Lima,2414.89,3360.25,5775.14,RECURSOS ORDINARIOS,Mesa Directiva
Personal del PA Javier Arce Sesión Extraordinario Enero,CHOQUE ACERO JOSE LUIS,23/01/2023,27/01/2023,Lima Bolivia Lima,2414.89,3266.3,5681.19,RECURSOS ORDINARIOS,Mesa Directiva
Personal del PA Gustavo Pacheco sesión extraordinaria enero,COARICONA MENDOZA DENCY YUDIH,23/01/2023,28/01/2023,Lima Bolivia Lima,3135.94,5220.88,8356.82,RECURSOS ORDINARIOS,Mesa Directiva
Personal del PA Leslie Lazo Sesión Extraordinario Enero,HIDALGO RODRIGUEZ JOSE ANTONIO,25/01/2023,27/01/2023,Lima Bolivia Lima,3830.96,2192.34,6023.3,RECURSOS ORDINARIOS,Mesa Directiva
Personal del PA Leslie Lazo Sesión Extraordinario Enero,SIPION CASTILLO JESUS,25/01/2023,27/01/2023,Lima Bolivia Lima,3927.23,1974.33,5901.56,RECURSOS ORDINARIOS,Mesa Directiva
,,,,,,,,,
