0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
ROBLES ARAUJO SILVANA EMPERATRIZ,"ALEJOS MATA, OMAR ALEJANDRO",20/09/2021,24/09/2021,LIMA-JUNIN-LIMA,250,1386.5,1636.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
ROBLES ARAUJO SILVANA EMPERATRIZ,"ARAUJO FABIAN, LIDIA VERONICA",20/09/2021,24/09/2021,LIMA-JUNIN-LIMA,164,1470,1634,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"AUQUI CACERES, MARIO ANDRES",20/09/2021,24/09/2021,LIMA-LIMA PROVINCIAS-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
ESPINOZA VARGAS JHAEC DARWIN,"BARRETO ROJAS, ELEAZAR JUAN",20/09/2021,24/09/2021,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"CAMA SALAZAR, ANTONIO",20/09/2021,24/09/2021,LIMA-LIMA PROVINCIAS-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"CANDIOTTI POMA, CARLOS",20/09/2021,24/09/2021,LIMA-HUANCAVELICA-LIMA,240,1511,1751,RECURSOS ORDINARIOS,MESA DIRECTIVA
DOROTEO CARBAJO RAUL FELIPE,"CASSANO TORRES, JUAN ALFREDO",20/09/2021,24/09/2021,LIMA-ICA-LIMA,0,1071.01,1071.01,RECURSOS ORDINARIOS,MESA DIRECTIVA
DOROTEO CARBAJO RAUL FELIPE,"COMENA GUZMAN, CARLOS ALBERTO",20/09/2021,24/09/2021,LIMA-ICA-LIMA,0,1111.5,1111.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
CAMONES SORIANO LADY MERCEDES,"DOMINGUEZ MORA, PEDRO EDUARDO",20/09/2021,24/09/2021,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
DIAZ MONAGO FREDDY RONALD,"GAONA HUAMAN, JUAN CARLOS",20/09/2021,24/09/2021,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
PORTALATINO AVALOS KELLY ROXANA,"GARCIA ESPINOZA, JESUS",20/09/2021,24/09/2021,LIMA-ANCASH-LIMA,250,0,250,RECURSOS ORDINARIOS,MESA DIRECTIVA
PORTALATINO AVALOS KELLY ROXANA,"GREGORIO TREJO, NELSON JENNY",20/09/2021,24/09/2021,LIMA-ANCASH-LIMA,250,0,250,RECURSOS ORDINARIOS,MESA DIRECTIVA
HUAMAN CORONADO RAUL,"HUARACC CUADROS, SANDRA RUTH",20/09/2021,24/09/2021,LIMA-ICA-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"MELENDEZ VILCHEZ, LUIS HERNANDO MARTIN",04/09/2021,07/10/2021,LIMA-AREQUIPA-MOLLENDO-LIMA,250,1280,1530,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTICORENA MENDOZA JORGE ALFONSO,"MORALES CAÑAHUA, ENRIQUE EDILBERTO",20/09/2021,24/09/2021,LIMA-ICA-LIMA,0,1185.55,1185.55,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE EDUCACION, JUVENTUD Y DEPORTE","NECIOSUP SANTA CRUZ, VICTOR HUGO",27/09/2021,28/09/2021,LIMA-ICA-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"PALOMINO CAYETANO, JOSE CARLOS",20/09/2021,24/09/2021,LIMA-HUANCAVELICA-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTICORENA MENDOZA JORGE ALFONSO,"PATIÑO ASTORAYME, EDNA ZARELA",20/09/2021,24/09/2021,LIMA-ICA-LIMA,0,1256,1256,RECURSOS ORDINARIOS,MESA DIRECTIVA
ESPINOZA VARGAS JHAEC DARWIN,"PEREZ REYES, RAFAEL YURI",20/09/2021,24/09/2021,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
