0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
COMISION DE INCLUSION SOCIAL Y PERSONAS CON DISCAPACIDAD,"BARRIOS AGUILAR, ELIZABETH",11/07/2021,13/07/2021,LIMA-LAMBAYEQUE-LIMA,803.95,752.9,1556.85,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE LA MUJER Y FAMILIA,"BAYONA HUERTA, JUAN SERGIO",08/07/2021,10/07/2021,LIMA-AYACUCHO-LIMA,1036.86,350.7,1387.56,RECURSOS ORDINARIOS,MESA DIRECTIVA
MAQUERA CHAVEZ HECTOR SIMON,"BENITEZ RIVAS, HERIBERTO MANUEL",24/07/2021,25/07/2021,LIMA-TACNA-LIMA,0,640,640,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"CASTILLO IPANAQUE, CARLOS ANDRES",01/07/2021,08/07/2021,LIMA-CUSCO-LIMA,668.81,0,668.81,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION AGRARIA,"COICO MONROY, EDWIN RIGOBERTO",09/07/2021,13/07/2021,LIMA-CUSCO-LIMA,990.45,0,990.45,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"DELGADO ROSPIGLIOSI, GIANINA PAMELA ELOISA",01/07/2021,08/07/2021,LIMA-CUSCO-LIMA,668.81,0,668.81,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"DELGADO ROSPIGLIOSI, GIANINA PAMELA ELOISA",14/07/2021,18/07/2021,LIMA-PIURA-LIMA,1044.81,0,1044.81,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE ENERGIA Y MINAS,"FLORES OROSCO, LUIS ALBERTO",05/07/2021,07/07/2021,LIMA-SAN MARTIN-TARAPOTO-LIMA,738.14,842.98,1581.12,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE INCLUSION SOCIAL Y PERSONAS CON DISCAPACIDAD,"JIMENEZ CHUQUITAPA, SHARON MARILUZ",11/07/2021,13/07/2021,LIMA-LAMBAYEQUE-LIMA,803.95,594.4,1398.35,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMIS INVEST DE IRREGULARIDADES EN CONTROL DIAGNOSTICO Y TRATO DE PANDEMIA Y ADQUISICIONES EN TUMBES UCAYALI Y APURIMAC,"LEON RAMIREZ, IVAN WALTER",02/07/2021,04/07/2021,LIMA-CUSCO-LIMA,1105.68,873.98,1979.66,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE LA MUJER Y FAMILIA,"LUQUE IBARRA, RUTH",08/07/2021,10/07/2021,LIMA-AYACUCHO-LIMA,1036.86,392.8,1429.66,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION ESPECIAL DE SEGUIMIENTO A EMERGENCIAS Y GESTION DE RIESGO DE DESASTRES - COVID 19,"MOYANO ANTAYHUA, JHOSSELIN MARISOL",04/07/2021,07/07/2021,LIMA-AMAZONAS-LIMA,956.6,1280,2236.6,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION ESPECIAL DE SEGUIMIENTO A EMERGENCIAS Y GESTION DE RIESGO DE DESASTRES - COVID 19,"MOYANO ANTAYHUA, JHOSSELIN MARISOL",11/07/2021,13/07/2021,LIMA-AMAZONAS-LIMA,692.58,960,1652.58,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"PALACIOS NOVOA, MANUEL EDUARDO",01/07/2021,08/07/2021,LIMA-CUSCO-LIMA,668.81,0,668.81,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION ESPECIAL DE SEGUIMIENTO A EMERGENCIAS Y GESTION DE RIESGO DE DESASTRES - COVID 19,"PINEDA CAMARGO, PABLO ENRIQUE",18/07/2021,21/07/2021,LIMA-LORETO-YURIMAGUAS-LIMA,915.19,1280,2195.19,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMIS INVEST DE IRREGULARIDADES EN CONTROL DIAGNOSTICO Y TRATO DE PANDEMIA Y ADQUISICIONES EN TUMBES UCAYALI Y APURIMAC,"QUIROZ PALACIOS, JHOSSELYN JHEYDI",02/07/2021,04/07/2021,LIMA-CUSCO-LIMA,1105.68,916.5,2022.18,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION ESPECIAL DE SEGUIMIENTO A EMERGENCIAS Y GESTION DE RIESGO DE DESASTRES - COVID 19,"QUISPE CASTILLO, ELIZENDA",04/07/2021,07/07/2021,LIMA-AMAZONAS-LIMA,956.6,1270,2226.6,RECURSOS ORDINARIOS,MESA DIRECTIVA
