0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
OFICINA DE ENLACE CON EL CIUDADANO,"ADAUTO AGUIRRE, MARIA ELENA",28/04/2022,13/05/2022,LIMA-LIMA-HUAURA-HUARAL-LIMA-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIDAS,"ADVINCULA MEDRANO, KEVIN",18/04/2022,22/04/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"ALMERCO LOPEZ, MARIASELA CINTHIA",18/04/2022,22/04/2022,LIMA-HUANCAVELICA-LIMA,80,1560,1640,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE CULTURA Y PATRIMONIO CULTURAL,"ALVIAR ROJAS, NELLY",17/04/2022,19/04/2022,LIMA-NAZCA - ICA-LIMA,56,958.8,1014.8,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIDAS,"ARANCIBIA CONDOR, DIANA LOURDES",18/04/2022,22/04/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
ROBLES ARAUJO SILVANA EMPERATRIZ,"ARAUJO FABIAN, LIDIA VERONICA",18/04/2022,22/04/2022,LIMA-JUNIN-LIMA,234,1542,1776,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"AUQUI CACERES, MARIO ANDRES",18/04/2022,22/04/2022,LIMA-LIMA-PROVINCIAS-LIMA,160,1426,1586,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE CULTURA Y PATRIMONIO CULTURAL,"BARRIENTOS GARAY, ALBERTO SAUL",03/04/2022,04/04/2022,LIMA-HUAURA-LIMA,0,470.96,470.96,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE CULTURA Y PATRIMONIO CULTURAL,"BARRIENTOS GARAY, ALBERTO SAUL",17/04/2022,19/04/2022,LIMA-NAZCA - ICA-LIMA,40,934.9,974.9,RECURSOS ORDINARIOS,MESA DIRECTIVA
TERCERA VICEPRESIDENCIA,"CASTILLO CHANDUVI, GIULIANA ELIZABETH",20/04/2022,21/04/2022,LIMA-ICA-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
