0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
COMISION DE COMERCIO EXTERIOR Y TURISMO,"CASTILLO IPANAQUE, CARLOS ANDRES",01/07/2021,08/07/2021,LIMA-CUSCO-LIMA,180.86,2432.2,2613.06,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"CASTILLO IPANAQUE, CARLOS ANDRES",14/07/2021,18/07/2021,LIMA-PIURA-LIMA,0,1105,1105,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION AGRARIA,"COICO MONROY, EDWIN RIGOBERTO",09/07/2021,13/07/2021,LIMA-CUSCO-LIMA,0,1600,1600,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"DELGADO ROSPIGLIOSI, GIANINA PAMELA ELOISA",01/07/2021,08/07/2021,LIMA-CUSCO-LIMA,180.86,2399,2579.86,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"DELGADO ROSPIGLIOSI, GIANINA PAMELA ELOISA",14/07/2021,18/07/2021,LIMA-PIURA-LIMA,0,1376,1376,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"PALACIOS NOVOA, MANUEL EDUARDO",01/07/2021,08/07/2021,LIMA-CUSCO-LIMA,180.86,2395.6,2576.46,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE COMERCIO EXTERIOR Y TURISMO,"PALACIOS NOVOA, MANUEL EDUARDO",14/07/2021,18/07/2021,LIMA-PIURA-LIMA,0,1469,1469,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION AGRARIA,"RIVEROS CARHUAPOMA, WILLIAM",09/07/2021,13/07/2021,LIMA-CUSCO-LIMA,0,1577,1577,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE VIVIENDA Y CONSTRUCCION,"VALLADARES DIAZ, OLEG JAIME",16/07/2021,17/07/2021,LIMA-ICA-PISCO-LIMA,35,640,675,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION AGRARIA,"VILLALBA MELENDEZ, ALISON ABIGAIL",09/07/2021,13/07/2021,LIMA-CUSCO-LIMA,0,606.5,606.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE VIVIENDA Y CONSTRUCCION,"ZEGARRA HUALLPARIMACHI, ALEX GUSTAVO",16/07/2021,17/07/2021,LIMA-ICA-PISCO-LIMA,0,640,640,RECURSOS ORDINARIOS,MESA DIRECTIVA
,,,,,,,,,
