0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
OFICINA DE ENLACE CON EL CIUDADANO,"ADAUTO AGUIRRE, MARIA ELENA",13/03/2022,15/03/2022,LIMA-JAEN-WAWAS-JAEN-LIMA,250,0,250,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE ENLACE CON EL CIUDADANO,"ADAUTO AGUIRRE, MARIA ELENA",25/03/2022,27/03/2022,LIMA-LIMA-JAEN-LIMA-LIMA,250,938,1188,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIDAS,"ADVINCULA MEDRANO, KEVIN",21/03/2022,25/03/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"ALTAMIRANO PATIÑO, MIGUEL ANGEL",21/03/2022,25/03/2022,LIMA-HUANCAVELICA-LIMA,160,1554,1714,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"AUQUI CACERES, MARIO ANDRES",21/03/2022,25/03/2022,LIMA-LIMA PROVINCIAS-LIMA,0,1464.3,1464.3,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIDAS,"CAMPOS AYALA, NATALY JASMIN",21/03/2022,25/03/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"CANTO CAYO, RAQUEL FIORELA",21/03/2022,25/03/2022,LIMA-HUANCAVELICA-LIMA,120,1543,1663,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"CAPCHA FELIX, KATHERINE JANETH",21/03/2022,25/03/2022,LIMA-LIMA PROVINCIAS-LIMA,0,1453.8,1453.8,RECURSOS ORDINARIOS,MESA DIRECTIVA
HUAMAN CORONADO RAUL,"CHIRE VILLAFUERTE, MARCO ANTONIO",21/03/2022,25/03/2022,LIMA-ICA-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
