0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
OFICINA DE PARTICIPACION CIUDADANA,"ACATE CORONEL, EDUARDO GEOVANNI",26/06/2022,29/06/2022,LIMA-TARAPOTO-LIMA,250,1280,1530,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIAS,"ADVINCULA MEDRANO, KEVIN",20/06/2022,24/06/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALVA MARTINEZ, RICARDO FLAVIO",20/06/2022,26/06/2022,LIMA-CUSCO-LIMA,250,1920,2170,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALVA MARTINEZ, RICARDO FLAVIO",20/06/2022,26/06/2022,LIMA-CUSCO-LIMA,500,0,500,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIAS,"ARANCIBIA CONDOR, DIANA LOURDES",20/06/2022,24/06/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
ROBLES ARAUJO SILVANA EMPERATRIZ,"ARAUJO FABIAN, LIDIA VERONICA",20/06/2022,24/06/2022,LIMA-JUNIN-LIMA,184,1577,1761,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ARIAS LAZO, JOSE ERNESTO",20/06/2022,26/06/2022,LIMA-CUSCO-LIMA,250,1920,2170,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ARIAS LAZO, JOSE ERNESTO",20/06/2022,26/06/2022,LIMA-CUSCO-LIMA,500,0,500,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"AUQUI CACERES, MARIO ANDRES",20/06/2022,24/06/2022,LIMA-LIMA PROVINCIAS-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"CAPCHA FELIX, KATHERINE JANETH",20/06/2022,24/06/2022,LIMA-LIMA PROVINCIAS-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
RUIZ RODRIGUEZ MAGALY ROSMERY,"CARBAJAL REYES, CECILIA ROSA",20/06/2022,24/06/2022,LIMA-LA LIBERTAD-LIMA,0,1600,1600,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE EDUCACION, JUVENTUD Y DEPORTE","COBARRUBIA VASQUEZ, ROY KENYO",03/06/2022,05/06/2022,LIMA-ICA-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
CAMONES SORIANO LADY MERCEDES,"CONTRERAS ACUÑA, KALET JHEFERSON",20/06/2022,24/06/2022,LIMA-ANCASH-LIMA,120,0,120,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CRUZ TEVES, LUZ REBECA",21/06/2022,23/06/2022,LIMA-CHIMBOTE-ANCASH-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"DUEÑAS DE LA CRUZ, VICTOR HUGO",20/06/2022,26/06/2022,LIMA-CUSCO-LIMA,250,1920,2170,RECURSOS ORDINARIOS,MESA DIRECTIVA
DIAZ MONAGO FREDDY RONALD,"DURAND LOPEZ, MOISES",20/06/2022,24/06/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
CORDERO JON TAY LUIS GUSTAVO,"ELGUERA MENA, JUAN CARLOS",20/06/2022,24/06/2022,LIMA-LIMA PROVINCIAS-LIMA,0,95,95,RECURSOS ORDINARIOS,MESA DIRECTIVA
