0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
OFICINA DE PARTICIPACION CIUDADANA,"AGUILAR JANTO, LUIS ENRIQUE",17/11/2022,19/11/2022,LIMA-ICA-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
MESA DE MUJERES PARLAMENTARIAS PERUANAS,"ANQUISE YUNQUE, IVONNE ROCIO",16/11/2022,16/11/2022,LIMA-ICA-LIMA,250,0,250,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CABALLERO PALOMINO, JUSTO ENRIQUE",08/11/2022,09/11/2022,LIMA-BARRANCA-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CABALLERO PALOMINO, JUSTO ENRIQUE",13/11/2022,15/11/2022,LIMA-OTUZCO - LA LIBERTAD-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CALERO LUIS, ANGEL FRANCISCO",09/11/2022,10/11/2022,LIMA-CHIMBOTE-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CAPELLETTI JAUREGUI, BENJAMIN ANTONIO",04/11/2022,06/11/2022,LIMA-JULIACA - PUNO-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CAPELLETTI JAUREGUI, BENJAMIN ANTONIO",08/11/2022,09/11/2022,LIMA-BARRANCA-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CAPELLETTI JAUREGUI, BENJAMIN ANTONIO",11/11/2022,13/11/2022,LIMA-JULIACA - PUNO-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE PARTICIPACION CIUDADANA,"CAPELLETTI JAUREGUI, BENJAMIN ANTONIO",24/11/2022,25/11/2022,LIMA-TACNA - MOQUEGUA-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
