0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
ACUÑA PERALTA MARIA GRIMANEZA,"ACEVEDO VELEZ, VICTOR MANUEL",26/09/2022,30/09/2022,LIMA-LAMBAYEQUE-LIMA,1072.1,1486.02,2558.12,RECURSOS ORDINARIOS,MESA DIRECTIVA
QUISPE MAMANI WILSON RUSBEL,"AGUILAR QUISPE, HILDEBRANDT ROBERT",26/09/2022,30/09/2022,LIMA-PUNO-LIMA,945.5,1600,2545.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
CASTILLO RIVAS EDUARDO ENRIQUE,"AGURTO ADRIANZEN, LAURA LUZ",26/09/2022,30/09/2022,LIMA-PIURA-LIMA,823.77,1600,2423.77,RECURSOS ORDINARIOS,MESA DIRECTIVA
ROBLES ARAUJO SILVANA EMPERATRIZ,"ALEJOS MATA, OMAR ALEJANDRO",26/09/2022,30/09/2022,LIMA-JUNIN-LIMA,1088.79,1600,2688.79,RECURSOS ORDINARIOS,MESA DIRECTIVA
ARAGON CARREÑO LUIS ANGEL,"ALVAREZ GUEVARA, DIEGO ALONZO",26/09/2022,30/09/2022,LIMA-CUSCO-LIMA,408.84,1592.01,2000.85,RECURSOS ORDINARIOS,MESA DIRECTIVA
CAVERO ALVA ALEJANDRO ENRIQUE,"AMADOR YONZ, CESAR LEONARDO",26/09/2022,29/09/2022,LIMA-CAJAMARCA-LIMA,702.78,1280,1982.78,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION MULTIPARTIDARIA DE MONITOREO FISCALIZACION Y CONTROL DEL PROGRAMA HAMBRE CERO,"AMAYA SANCHEZ, KARINA ANDREA DEL PILAR",18/09/2022,19/09/2022,LIMA-CHICLAYO-LAMBAYEQUE-LIMA,840.36,312,1152.36,RECURSOS ORDINARIOS,MESA DIRECTIVA
ALEGRIA GARCIA LUIS ARTURO,"ANGELES PERASSO, GIANCARLO",26/09/2022,30/09/2022,LIMA-SAN MARTIN-LIMA,709.84,1600,2309.84,RECURSOS ORDINARIOS,MESA DIRECTIVA
JUAREZ CALLE HEIDY LISBETH,"ANTON GUERRERO, WENDY YADHIRA",26/09/2022,30/09/2022,LIMA-PIURA-LIMA,391.78,1600,1991.78,RECURSOS ORDINARIOS,MESA DIRECTIVA
LOPEZ MORALES JENY LUZ,"APOMAYTA CARPIO, HUGO MAXIMO",26/09/2022,30/09/2022,LIMA-UCAYALI-LIMA,579.25,1560,2139.25,RECURSOS ORDINARIOS,MESA DIRECTIVA
ALVA ROJAS CARLOS ENRIQUE,"ARANCIBIA ARROYO, CARLOS EDUARDO",26/09/2022,30/09/2022,LIMA-LA LIBERTAD-LIMA,0,1600,1600,RECURSOS ORDINARIOS,MESA DIRECTIVA
