0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
VALER PINTO HECTOR,"ACOSTA GONZALES, ABRAHAM FABIAN",16/05/2022,20/05/2022,LIMA-APURIMAC-CUSCO-LIMA,1513.9,1200,2713.9,RECURSOS ORDINARIOS,MESA DIRECTIVA
QUISPE MAMANI WILSON RUSBEL,"AGUILAR QUISPE, HILDEBRANDT ROBERT",16/05/2022,20/05/2022,LIMA-PUNO-LIMA,862.34,1581.01,2443.35,RECURSOS ORDINARIOS,MESA DIRECTIVA
MOYANO DELGADO MARTHA LUPE,"AGUIRRE CUTIPA, JUDITH NANCY",16/05/2022,20/05/2022,LIMA-AREQUIPA-LIMA,717.74,960.2,1677.94,RECURSOS ORDINARIOS,MESA DIRECTIVA
CASTILLO RIVAS EDUARDO ENRIQUE,"AGURTO ADRIANZEN, LAURA LUZ",16/05/2022,20/05/2022,LIMA-AREQUIPA-LIMA,982.96,1600,2582.96,RECURSOS ORDINARIOS,MESA DIRECTIVA
PRESIDENCIA,"ALBA ARBIETO, WILDER ROGGER",27/05/2022,27/05/2022,LIMA-LAMBAYEQUE-CHICLAYO-LIMA,1375.14,320,1695.14,RECURSOS ORDINARIOS,MESA DIRECTIVA
ELERA GARCIA WILMAR ALBERTO,"ALBAN VILLEGAS, JOSE MARTIN",16/05/2022,20/05/2022,LIMA-PIURA-LIMA,944.29,1600,2544.29,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALDAVE PALACIOS, JULIO SALVADOR",18/05/2022,20/05/2022,LIMA-PIURA-LIMA,1403.08,960,2363.08,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTINEZ TALAVERA PEDRO EDWIN,"ALEJANDRO CHOQUE, YURLENICA ALISSON",16/05/2022,20/05/2022,LIMA-AREQUIPA-LIMA,1242.07,1523,2765.07,RECURSOS ORDINARIOS,MESA DIRECTIVA
ROBLES ARAUJO SILVANA EMPERATRIZ,"ALEJOS MATA, OMAR ALEJANDRO",16/05/2022,20/05/2022,LIMA-JUNIN-LIMA,1111.32,1566,2677.32,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALVA MARTINEZ, RICARDO FLAVIO",14/05/2022,18/05/2022,LIMA-JAUJA-HUANCAVELICA-AYACUCHO-LIMA,1103.47,0,1103.47,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALVA MARTINEZ, RICARDO FLAVIO",26/05/2022,27/05/2022,LIMA-LAMBAYEQUE - CHICLAYO-LIMA,1537.35,640,2177.35,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALVA MARTINEZ, RICARDO FLAVIO",28/05/2022,28/05/2022,LIMA-LAMBAYEQUE-LIMA,0,320,320,RECURSOS ORDINARIOS,MESA DIRECTIVA
ARAGON CARREÑO LUIS ANGEL,"ALVAREZ GUEVARA, DIEGO ALONZO",16/05/2022,20/05/2022,LIMA-CUSCO-LIMA,1584.71,980,2564.71,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMIS INVEST SOBRE IRREGULARIDADES EN CONTRATACIONES DE BIENES Y SERVICIOS EN ESSALUD DURANTE EMERG SANITARIA COVID 19,"ALVAREZ JINES, BENJAMIN NEMESIO",05/05/2022,07/05/2022,LIMA-AYACUCHO-LIMA,672.83,960,1632.83,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMIS INVEST SOBRE IRREGULARIDADES EN CONTRATACIONES DE BIENES Y SERVICIOS EN ESSALUD DURANTE EMERG SANITARIA COVID 19,"ALVAREZ JINES, BENJAMIN NEMESIO",12/05/2022,15/05/2022,LIMA-CUSCO-LIMA,1869.09,1280,3149.09,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION MULTIPARTIDARIA DE MONITOREO FISCALIZACION Y CONTROL DEL PROGRAMA HAMBRE CERO,"AMAYA SANCHEZ, KARINA ANDREA DEL PILAR",22/05/2022,23/05/2022,LIMA-LA LIBERTAD-LIMA,1237.93,408.3,1646.23,RECURSOS ORDINARIOS,MESA DIRECTIVA
