0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
COM ESP MULT ENCARGADA DE REALIZAR TRABAJO CONJUNTO CON COMISION NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,"AQUINO PAREDES, ELISEO ELY",24/01/2023,30/01/2023,LIMA-PUCALLPA-UCAYALI-LIMA,964.34,2227,3191.34,RECURSOS ORDINARIOS,MESA DIRECTIVA
COM ESP MULT ENCARGADA DE REALIZAR TRABAJO CONJUNTO CON COMISION NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,"ARBOLEDA MENESES, JORGE LUIS",24/01/2023,30/01/2023,LIMA-PUCALLPA-UCAYALI-LIMA,831.8,2201,3032.8,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"AUQUI CACERES, MARIO ANDRES",17/01/2023,23/01/2023,LIMA-LIMA PROVINCIAS-PIURA-LIMA,1207.64,2113,3320.64,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTICORENA MENDOZA JORGE ALFONSO,"BARRANZUELA SANTIAGO, CATHERINE LIZABETH",17/01/2023,23/01/2023,LIMA-ICA-LIMA,40,381.5,421.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"CAMA SALAZAR, HELI",17/01/2023,23/01/2023,LIMA-LIMA PROVINCIAS-PIURA-LIMA,1207.64,2132.5,3340.14,RECURSOS ORDINARIOS,MESA DIRECTIVA
PORTALATINO AVALOS KELLY ROXANA,"CELIZ VASQUEZ, JOSE",17/01/2023,23/01/2023,LIMA-ANCASH-LIMA,245,1227,1472,RECURSOS ORDINARIOS,MESA DIRECTIVA
CAMONES SORIANO LADY MERCEDES,"CONTRERAS ACUÑA, KALET JHEFERSON",17/01/2023,23/01/2023,LIMA-ANCASH Y LIMA METROPOLITANA-LIMA,250,2240,2490,RECURSOS ORDINARIOS,MESA DIRECTIVA
DOROTEO CARBAJO RAUL FELIPE,"DE LA CRUZ ASTORGA, JUAN JOSE",17/01/2023,23/01/2023,LIMA-ICA-LIMA,250,2240,2490,RECURSOS ORDINARIOS,MESA DIRECTIVA
REYES CAM ABEL AUGUSTO,"DEL CARPIO GOMEZ, ELIAS WILFREDO",17/01/2023,23/01/2023,LIMA-HUANUCO-LIMA,165,2147,2312,RECURSOS ORDINARIOS,MESA DIRECTIVA
HUAMAN CORONADO RAUL,"DIAZ HUARCAYA, FRANZ ALEXANDER",17/01/2023,23/01/2023,LIMA-ICA-LIMA,250,0,250,RECURSOS ORDINARIOS,MESA DIRECTIVA
VARAS MELENDEZ ELIAS MARCIAL,"DOMINGUEZ OLIVARES, LUZ MARINA",13/01/2023,17/01/2023,LIMA-ANCASH-LIMA,240,2240,2480,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"FERNÁNDEZ MALPARTIDA, ANGIE STEFANY",17/01/2023,23/01/2023,LIMA-HUANCAVELICA-LIMA,250,1299.8,1549.8,RECURSOS ORDINARIOS,MESA DIRECTIVA
ESPINOZA VARGAS JHAEC DARWIN,"HARO RODRIGUEZ, KEVIN JOSELMER",17/01/2023,23/01/2023,LIMA-ANCASH-LIMA,110,1630,1740,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION AGRARIA,"HERNANDEZ CHAVEZ, EDGAR",12/01/2023,13/01/2023,LIMA-TRUJILLO - REGION LA LIBERTAD-LIMA,519.07,311,830.07,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"HUINCHO ANCCASI, JOSE LUIS",17/01/2023,23/01/2023,LIMA-HUANCAVELICA-LIMA,250,1356.8,1606.8,RECURSOS ORDINARIOS,MESA DIRECTIVA
PORTALATINO AVALOS KELLY ROXANA,"LA NOIRE SEDANO, VICTOR MANUEL",17/01/2023,23/01/2023,LIMA-ANCASH-LIMA,245,1226,1471,RECURSOS ORDINARIOS,MESA DIRECTIVA
ESPINOZA VARGAS JHAEC DARWIN,"LOPEZ VELAOCHAGA, GIANCARLO CESAR",17/01/2023,23/01/2023,LIMA-ANCASH-LIMA,110,1582.5,1692.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
VARAS MELENDEZ ELIAS MARCIAL,"MEDINA MUÑOZ, LUZCELY MARIBEL",13/01/2023,17/01/2023,LIMA-ANCASH-LIMA,250,2230,2480,RECURSOS ORDINARIOS,MESA DIRECTIVA
FLORES RUIZ VICTOR SEFERINO,"MEZA MENDIOLA, LUCIANA MARIA",17/01/2023,23/01/2023,LIMA-TRUJILLO-LIMA,250,2225,2475,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTICORENA MENDOZA JORGE ALFONSO,"MORALES CAÑAHUA, ENRIQUE EDILBERTO",17/01/2023,23/01/2023,LIMA-ICA-LIMA,75,382.5,457.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
COM ESP MULT ENCARGADA DE REALIZAR TRABAJO CONJUNTO CON COMISION NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,"ORDINOLA CORZO, LUIS CARLOS",24/01/2023,30/01/2023,LIMA-PUCALLPA-UCAYALI-LIMA,895.79,2206,3101.79,RECURSOS ORDINARIOS,MESA DIRECTIVA
REYMUNDO MERCADO EDGARD CORNELIO,"RAMON QUISPE, MARGOT MARITZA",17/01/2023,23/01/2023,LIMA-JUNIN-LIMA,50,2131.7,2181.7,RECURSOS ORDINARIOS,MESA DIRECTIVA
DOROTEO CARBAJO RAUL FELIPE,"REYES ORTIZ, MARIO RICARDO",17/01/2023,23/01/2023,LIMA-ICA-LIMA,250,2240,2490,RECURSOS ORDINARIOS,MESA DIRECTIVA
CAMONES SORIANO LADY MERCEDES,"RIERA RODRIGUEZ, WALTER AUGUSTO",17/01/2023,23/01/2023,LIMA-ANCASH Y LIMA METROPOLITANA-LIMA,250,2240,2490,RECURSOS ORDINARIOS,MESA DIRECTIVA
GUTIERREZ TICONA PAUL SILVIO,"SARMIENTO PIMENTEL, JEAN DAVID",17/01/2023,23/01/2023,LIMA-APURIMAC-LIMA,250,2240,2490,RECURSOS ORDINARIOS,MESA DIRECTIVA
ROBLES ARAUJO SILVANA EMPERATRIZ,"SOTO GUERRA, DANIEL EDUARDO",17/01/2023,23/01/2023,LIMA-JAUJA - JUNIN-LIMA,0,2148.5,2148.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
RUIZ RODRIGUEZ MAGALY ROSMERY,"URIOL ÑIQUE, ELIO OMAR",17/01/2023,23/01/2023,LIMA-TRUJILLO-LIMA,250,2215,2465,RECURSOS ORDINARIOS,MESA DIRECTIVA
