0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
ACUÑA PERALTA MARIA GRIMANEZA,"ACEVEDO VELEZ, VICTOR MANUEL",20/09/2021,24/09/2021,LIMA-LAMBAYEQUE-LIMA,1000.69,1121.71,2122.4,RECURSOS ORDINARIOS,MESA DIRECTIVA
CUTIPA CCAMA VICTOR RAUL,"ADRIAZOLA LLANOS, JESUS ANDRES",20/09/2021,24/09/2021,LIMA-MOQUEGUA-LIMA,950.08,1600,2550.08,RECURSOS ORDINARIOS,MESA DIRECTIVA
KAMICHE MORANTE LUIS ROBERTO,"AGUILAR DUEÑAS, WILBERT JOSUE",20/09/2021,24/09/2021,LIMA-LA LIBERTAD-LIMA,640.51,1227.19,1867.7,RECURSOS ORDINARIOS,MESA DIRECTIVA
QUISPE MAMANI WILSON RUSBEL,"AGUILAR QUISPE, HILDEBRANDT ROBERT",20/09/2021,24/09/2021,LIMA-PUNO-LIMA,0,1535,1535,RECURSOS ORDINARIOS,MESA DIRECTIVA
CASTILLO RIVAS EDUARDO ENRIQUE,"AGURTO ADRIANZEN, LAURA LUZ",20/09/2021,24/09/2021,LIMA-PIURA-LIMA,738.1,1315.9,2054,RECURSOS ORDINARIOS,MESA DIRECTIVA
TORRES SALINAS ROSIO,"AHUITE MARINA, DAVIID",20/09/2021,24/09/2021,LIMA-LORETO-LIMA,998.84,1600,2598.84,RECURSOS ORDINARIOS,MESA DIRECTIVA
ELERA GARCIA WILMAR ALBERTO,"ALBAN VILLEGAS, JOSE MARTIN",20/09/2021,24/09/2021,LIMA-PIURA-LIMA,1238.97,1600,2838.97,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTINEZ TALAVERA PEDRO EDWIN,"ALEJANDRO CHOQUE, YURLENICA ALISSON",20/09/2021,24/09/2021,LIMA-AREQUIPA-LIMA,958.07,1600,2558.07,RECURSOS ORDINARIOS,MESA DIRECTIVA
LIZARZABURU LIZARZABURU JUAN CARLOS MARTIN,"ALLEMANT FLORINDEZ, PATRICK PETER",20/09/2021,24/09/2021,LIMA-LIMA - RESIDENTES EN EL EXT.-LIMA,0,1600,1600,RECURSOS ORDINARIOS,MESA DIRECTIVA
ACUÑA PERALTA SEGUNDO HECTOR,"ALMEIDA RODRIGUEZ, CLEVER JUNIOR",20/09/2021,24/09/2021,LIMA-LA LIBERTAD-LIMA,766.54,598,1364.54,RECURSOS ORDINARIOS,MESA DIRECTIVA
FLORES RUIZ VICTOR SEFERINO,"ALVARADO PINEDO, SEGUNDO RAMON",20/09/2021,24/09/2021,LIMA-LA LIBERTAD-LIMA,702.76,1600,2302.76,RECURSOS ORDINARIOS,MESA DIRECTIVA
ARAGON CARREÑO LUIS ANGEL,"ALVAREZ GUEVARA, DIEGO ALONZO",20/09/2021,24/09/2021,LIMA-CUSCO-LIMA,1237.9,1276.9,2514.8,RECURSOS ORDINARIOS,MESA DIRECTIVA
FLORES RAMIREZ ALEX RANDU,"ALVIAR ROJAS, NELLY",20/09/2021,24/09/2021,LIMA-AYACUCHO-LIMA,697.78,1597,2294.78,RECURSOS ORDINARIOS,MESA DIRECTIVA
VALER PINTO HECTOR,"ANAYA VALVERDE, ARTURO MIGUEL",20/09/2021,24/09/2021,LIMA-LIMA-LIMA,0,1600,1600,RECURSOS ORDINARIOS,MESA DIRECTIVA
LOPEZ UREÑA ILICH FREDY,"ANGELES MENDEZ, RENATO",20/09/2021,24/09/2021,LIMA-JUNIN-LIMA,974.28,1540,2514.28,RECURSOS ORDINARIOS,MESA DIRECTIVA
ZEA CHOQUECHAMBI OSCAR,"ANTUNEZ ANTUNEZ, FELICISIMO ROMULO",20/09/2021,24/09/2021,LIMA-PUNO-LIMA,742.49,1600,2342.49,RECURSOS ORDINARIOS,MESA DIRECTIVA
