0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
"COMISION DE DEFENSA NACIONAL, ORDEN INTERNO, DESARROLLO ALTERNATIVO Y LUCHA CONTRA LAS DROGAS","ADRIAZOLA MARTINEZ, ERIKA DEL PILAR",12/10/2022,14/10/2022,LIMA-TUMBES-LIMA,1455.93,923,2378.93,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIAS,"ADVINCULA MEDRANO, KEVIN",24/10/2022,28/10/2022,LIMA-PASCO-LIMA,850.84,0,850.84,RECURSOS ORDINARIOS,MESA DIRECTIVA
ACUÑA PERALTA SEGUNDO HECTOR,"ADVINCULA RIQUE, LUZ AMPARO",24/10/2022,28/10/2022,LIMA-LA LIBERTAD-LIMA,416.62,1600,2016.62,RECURSOS ORDINARIOS,MESA DIRECTIVA
QUISPE MAMANI WILSON RUSBEL,"AGUILAR QUISPE, HILDEBRANDT ROBERT",24/10/2022,28/10/2022,LIMA-PUNO-LIMA,1108.77,1600,2708.77,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALDAVE PALACIOS, JULIO SALVADOR",16/10/2022,17/10/2022,LIMA-PUCALLPA-UCAYALI-LIMA,923.87,640,1563.87,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALDAVE PALACIOS, JULIO SALVADOR",26/10/2022,28/10/2022,LIMA-TUMBES-LIMA,1534.89,0,1534.89,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION DE INCLUSION SOCIAL Y PERSONAS CON DISCAPACIDAD,"ALEGRE CASTILLO, WILLIAMS FRANCISCO",16/10/2022,19/10/2022,LIMA-CERRO DE PASCO-LIMA,517.31,838.5,1355.81,RECURSOS ORDINARIOS,MESA DIRECTIVA
COMISION INVESTIGADORA MULTIPARTIDARIA ENCARGADA DE INVESTIGAR EL ATENTADO EN VIZCATAN DEL ENE EL 23 DE MAYO DE 2021,"ALMEIDA PALOMINO, LIZBETH NANCY",20/10/2022,22/10/2022,LIMA-SATIPO-JUNIN-LIMA,696.06,0,696.06,RECURSOS ORDINARIOS,MESA DIRECTIVA
PORTALATINO AVALOS KELLY ROXANA,"ALTUNA CUBAS, LESLIE MARGARITA",24/10/2022,28/10/2022,LIMA-PUCALLPA - REGION ANCASH-LIMA,1011.34,1600,2611.34,RECURSOS ORDINARIOS,MESA DIRECTIVA
COAYLA JUAREZ JORGE SAMUEL,"ALVAREZ HURTADO, MARIA HAYDEE ARACELI",24/10/2022,28/10/2022,LIMA-MOQUEGUA-LIMA,1302.66,1600,2902.66,RECURSOS ORDINARIOS,MESA DIRECTIVA
